text,label
you make every morning feel better,1
i kept thinking about our chat yesterday,1
your smile stays in my mind for too long,1
you looked really good today,1
i like the way you talk to me,1
you always know how to make me smile,1
you sounded cute on the call,1
i love the way you explain things,1
you’re the highlight of my day,1
i kind of missed you today,1
you make everything feel lighter,1
you looked so confident today,1
i like how comfortable i feel around you,1
that message of yours made my evening,1
i enjoy talking to you a bit too much,1
you looked adorable in that photo,1
i love how honest you are with me,1
you make my day unexpectedly better,1
you have a charming way of saying things,1
i feel like i connect with you easily,1
i love the energy you bring,1
you have a cute way of expressing things,1
talking to you is my favorite break,1
i love how you remember small details,1
i like the attention i get from you,1
i can’t stop smiling after your message,1
you are becoming my favorite person,1
i enjoy our conversations a little too much,1
you say things that make my heart happy,1
i feel something sweet between us,1
your confidence is attractive,1
you make me blush sometimes,1
i can’t deny you look really good today,1
i like the way you think about things,1
you make boring days feel special,1
you looked perfect without even trying,1
you’re surprisingly good at making me laugh,1
i love how you tease me,1
your presence feels warm,1
you looked cute trying not to smile,1
i like how close i feel to you,1
you have a lovely way of speaking,1
i think you’re really special,1
you are effortlessly charming,1
the way you said that was adorable,1
you make my evenings better,1
i like your vibe a lot,1
i feel happy around you,1
you looked stunning today,1
i like the way you smile,1
you make even monday look good,1
you looked cute today ngl,1
that hairstyle suits you a lot,1
you make things interesting,1
I like the way you said that yesterday,1
You always sound so warm when you text,1
Your voice would probably calm anyone,1
I like how comfortable you make conversations feel,1
I might get used to talking to you like this,1
You looked confident in that meeting today,1
I like the spark you bring when we talk,1
Thinking about our chat earlier made me smile,1
You explain things in a very charming way,1
You have a vibe I really enjoy,1
I feel like we connect easily,1
You make normal things sound interesting,1
I'm not sure why but you stay in my mind longer than others,1
You make conversations effortless,1
I kind of like the attention you give me,1
You always know how to say the right things,1
I feel good when I talk to you,1
You make my boring days better,1
I could talk to you all evening,1
You give off a comforting energy,1
"I like the way you think, it's attractive",1
I enjoy our little conversations way too much,1
You make everything sound fun,1
I like seeing your name pop up on my phone,1
You make ordinary messages feel special,1
I love how natural our chats feel,1
"I like this version of you, the soft one",1
You make me laugh more than you know,1
I like the way you pay attention to small things,1
I feel something warm talking to you,1
I could listen to you talk for hours,1
You sounded very sweet today,1
